Timestamp,FPS,Inference_Latency_ms,Gesture_Detected
21:13:02,50.63,13.16,NEUTRAL
21:13:02,50.18,13.83,NEUTRAL
21:13:02,50.1,14.58,NEUTRAL
21:13:02,50.42,13.28,NEUTRAL
21:13:02,51.03,13.58,NEUTRAL
21:13:02,50.42,15.6,NEUTRAL
21:13:02,50.38,13.51,NEUTRAL
21:13:02,50.23,14.54,NEUTRAL
21:13:02,51.65,13.87,NEUTRAL
21:13:02,51.66,13.81,NEUTRAL
21:13:02,52.24,13.29,NEUTRAL
21:13:02,50.39,26.13,NEUTRAL
21:13:02,49.47,18.45,NEUTRAL
21:13:02,49.14,13.29,NEUTRAL
21:13:02,49.1,13.38,NEUTRAL
21:13:02,49.28,13.79,NEUTRAL
21:13:02,47.42,23.37,NEUTRAL
21:13:02,47.91,13.23,NEUTRAL
21:13:02,48.08,13.43,NEUTRAL
21:13:02,47.88,13.35,NEUTRAL
21:13:02,47.53,13.67,NEUTRAL
21:13:02,49.53,14.46,NEUTRAL
21:13:02,50.42,14.77,NEUTRAL
21:13:02,48.83,22.14,NEUTRAL
21:13:02,47.3,21.19,NEUTRAL
21:13:02,47.82,12.79,NEUTRAL
21:13:02,49.94,12.73,NEUTRAL
21:13:02,48.94,16.99,NEUTRAL
21:13:02,48.11,14.46,NEUTRAL
21:13:02,47.93,13.0,NEUTRAL
21:13:02,47.53,14.43,NEUTRAL
21:13:02,47.68,13.57,NEUTRAL
21:13:02,47.07,17.75,NEUTRAL
21:13:02,48.05,16.86,NEUTRAL
21:13:02,49.74,13.1,NEUTRAL
21:13:02,49.3,14.04,NEUTRAL
21:13:02,48.45,14.2,NEUTRAL
21:13:02,49.38,13.48,NEUTRAL
21:13:02,49.66,15.65,NEUTRAL
21:13:02,49.67,13.23,NEUTRAL
21:13:02,47.95,25.59,NEUTRAL
21:13:02,47.64,12.6,NEUTRAL
21:13:02,47.98,14.14,NEUTRAL
21:13:02,48.17,14.21,NEUTRAL
21:13:02,47.63,13.6,NEUTRAL
21:13:02,47.68,12.38,NEUTRAL
21:13:03,47.65,14.12,NEUTRAL
21:13:03,43.88,12.3,PLAY/PAUSE
21:13:03,42.42,21.87,NEUTRAL
21:13:03,42.06,13.95,NEUTRAL
21:13:03,43.66,14.2,NEUTRAL
21:13:03,43.59,13.4,NEUTRAL
21:13:03,43.6,14.69,NEUTRAL
21:13:03,43.13,16.03,NEUTRAL
21:13:03,42.59,15.9,NEUTRAL
21:13:03,42.47,12.99,NEUTRAL
21:13:03,38.77,85.31,NEUTRAL
21:13:03,42.06,13.65,NEUTRAL
21:13:03,43.2,14.92,NEUTRAL
21:13:03,43.69,12.41,NEUTRAL
21:13:03,44.13,12.71,MUTE
21:13:03,43.97,13.62,NEUTRAL
21:13:03,43.82,14.16,NEUTRAL
21:13:03,44.64,12.64,NEUTRAL
21:13:03,45.3,12.76,NEUTRAL
21:13:03,44.27,13.61,NEUTRAL
21:13:03,47.75,13.59,NEUTRAL
21:13:03,47.73,13.3,NEUTRAL
21:13:03,47.65,15.33,NEUTRAL
21:13:03,47.02,13.55,NEUTRAL
21:13:03,46.07,17.35,NEUTRAL
21:13:03,46.33,13.01,NEUTRAL
21:13:03,44.67,27.54,NEUTRAL
21:13:03,44.33,13.71,NEUTRAL
21:13:03,44.46,12.32,NEUTRAL
21:13:03,45.1,14.16,NEUTRAL
21:13:03,45.34,13.93,NEUTRAL
21:13:03,45.53,13.4,NEUTRAL
21:13:03,46.11,12.99,NEUTRAL
21:13:03,46.54,13.41,NEUTRAL
21:13:03,47.48,12.79,NEUTRAL
21:13:03,47.38,12.79,NEUTRAL
21:13:03,49.37,13.7,NEUTRAL
21:13:03,48.5,18.55,NEUTRAL
21:13:03,48.4,12.44,NEUTRAL
21:13:04,45.33,13.99,PLAY/PAUSE
21:13:04,44.93,15.27,NEUTRAL
21:13:04,43.75,18.44,NEUTRAL
21:13:04,43.48,13.12,NEUTRAL
21:13:04,43.58,12.75,NEUTRAL
21:13:04,43.44,13.51,NEUTRAL
21:13:04,43.26,14.22,NEUTRAL
21:13:04,43.32,13.56,NEUTRAL
21:13:04,43.0,20.95,NEUTRAL
21:13:04,42.98,12.9,NEUTRAL
21:13:04,45.59,15.91,NEUTRAL
21:13:04,45.76,14.91,NEUTRAL
